조사지,반복,1수영화수_개화기,CVI_개화기,CVI_개화후2주,CVI_개화후4주,CVI_분얼전기,CVI_분얼후기,CVI_수확기,GNDVI_개화기,GNDVI_개화후2주,GNDVI_개화후4주,GNDVI_분얼전기,GNDVI_분얼후기,GNDVI_수확기,LAI_개화기,LAI_개화후2주,LAI_개화후4주,LAI_분얼전기,LAI_분얼후기,LAI_수확기,NDRE_개화기,NDRE_개화후2주,NDRE_개화후4주,NDRE_분얼전기,NDRE_분얼후기,NDRE_수확기,NDVI_개화기,NDVI_개화후2주,NDVI_개화후4주,NDVI_분얼전기,NDVI_분얼후기,NDVI_수확기,RVI_개화기,RVI_개화후2주,RVI_개화후4주,RVI_분얼전기,RVI_분얼후기,RVI_수확기,SPAD_개화기,SPAD_개화후2주,SPAD_개화후4주,SPAD_분얼전기,SPAD_분얼후기,SPAD_수확기,간장(cm)_개화기,간장(cm)_개화후2주,간장(cm)_개화후4주,간장(cm)_수확기,수량(g/(50*50)cm2)_수확기,수량(g/m2)_수확기,수장(cm)_개화기,수장(cm)_개화후2주,수장(cm)_개화후4주,수장(cm)_수확기,유수길이(mm)_분얼전기,일수립수_수확기,초장(cm)_분얼전기,초장(cm)_분얼후기,관개,시비,파종
Plot 3,7,26,0.053191836901041664,0.05381418539583334,0.05828382161979166,0.023606654421874998,0.028551169213541668,0.06308706057291666,0.7480265286979167,0.7572959354166667,0.6682388554687501,0.37395882822916665,0.6361612963541666,0.5421601130729167,3.77,4.37,1.78,0.67,2.21,0.97,0.43626187161458335,0.42320821619791665,0.26611542796875,0.14114259639583335,0.35429976265625,0.15729019572395833,0.8005429138020833,0.8136513878645834,0.62666961953125,0.34415428541666665,0.7506978928125,0.29060167859375,9.366688169270834,9.94989354375,4.3940244999999996,2.1003003875,7.334967108854166,1.82792980625,47.7,42,34,35.3,50.5,6.3,87,57,70,71,82.179,328.716,9,8,7,7,0.6,29,18,57,1,1,0
Plot 3,8,47,0.054403781371727744,0.05310751161780105,0.059120475230366495,0.024725353989528794,0.031075111078534032,0.05795634408376963,0.7644735281675392,0.7658648875392671,0.6707637773821991,0.41043515246073303,0.6567528528795811,0.5126809621989529,4.43,3.79,1.17,0.86,2.3,1.04,0.45822803136125656,0.43599924591623035,0.25506057696335077,0.16147535105759162,0.37975063020942407,0.13200073815183247,0.8232577065445026,0.8298081345026178,0.6275538453403141,0.3975258570680628,0.7638464595287958,0.2512876578010471,10.817981975916231,10.922222439790577,4.395292864397906,2.430067664921466,7.886457914659686,1.6775296261780104,47.4,47.1,29.7,37.9,48.1,6,78,66,73,66,71.99,287.96,9,7,9,7.5,0.5,29,17,59,1,1,0
Plot 3,9,34,0.05205332638341969,0.051999705766839384,0.058409568528497414,0.0242301175492228,0.02937928733160622,0.060433825746113994,0.7717542959585493,0.7709273806217616,0.6798517066321245,0.40692478248704667,0.6881480315025906,0.5157432676165803,3.89,3.93,2.76,1.2,2.17,1.07,0.45774359621761657,0.43842570310880824,0.2722771289637306,0.15816618345077718,0.40447512730569946,0.13170824833160621,0.8410994357512953,0.8403341727979274,0.6514875595336788,0.4003400756994819,0.8170604933160622,0.2402764376683938,11.924350966321244,11.62025346373057,4.772619553886011,2.3897397238341966,10.339963502590674,1.6364869569948188,46,49.8,23.6,35.6,47.4,6.8,77,67,75,65,91.48249999999999,365.92999999999995,9,7.5,8.5,7,0.5,30,20,60,1,1,0
Plot 3,10,40,0.05970584861780104,0.05924023921465969,0.06419342815706806,0.025562153109947645,0.03442280032460733,0.05871315469109948,0.824023159842932,0.8070336846073298,0.6930822638219896,0.444831525078534,0.7412377745549739,0.5101748567015707,4.23,4.13,2.61,0.6,2.15,1.12,0.5433364091623036,0.49517461931937173,0.2873761919371728,0.18244506369633506,0.4745664608376964,0.1291806047172775,0.8945719280104711,0.8740351937172774,0.6537161215183246,0.45274442387434555,0.8576051154973823,0.24041971905759163,18.331007518324608,14.957682447643977,4.794025297905759,2.7273386010471206,13.525204636125656,1.637223244502618,49.6,44.6,33.4,28.4,47.3,4.5,79,65,65,70,103.109,412.436,9,7.5,8,7.5,0.5,31,17,61,1,1,0
Plot 4,1,39,0.04874080407253886,0.04317721697927461,0.05814153540414508,0.028132899119170985,0.02972300783419689,0.052280109673575124,0.790324571658031,0.7443996570984457,0.6023667964248705,0.5452047386010362,0.7567686635751295,0.46994013300518134,2.74,1.87,1.07,0.56,0.71,1.64,0.4724128297927461,0.38894175134715026,0.158403867253886,0.2566568531088083,0.4761077441968912,0.1056975440207254,0.8741822955958548,0.8303870328497409,0.47349117751295333,0.6063136411398964,0.8919444192227979,0.19527652041450777,15.198553989637306,10.92598651088083,2.805337640414508,4.307130321243523,17.823095611398966,1.4877129823834199,36.2,34.7,4,33.7,38.1,7.7,64,62,70,61,69.2415,276.966,9,6.5,7,6.5,0.4,31,13,51,1,0,0
Plot 4,2,44,0.044514423435233166,0.037984403932642484,0.062342779694300514,0.02878039056476684,0.02585746656994819,0.05294793806217617,0.762114530103627,0.6931574476683937,0.5813625268393783,0.6214135717098446,0.7265737923316062,0.47306601134715026,2.63,1.73,0.9,0.57,0.73,1.53,0.4218730584974093,0.3181204912953368,0.13413017922279794,0.30685368865284973,0.4286941232124352,0.11193617095336789,0.8498983059067358,0.7781687869430052,0.39275078626943,0.7238388365284973,0.8778176193782383,0.1981269925388601,12.464504113989637,8.111016048186528,2.296136408290155,6.870625411398964,15.721396199481864,1.4979728378238342,41.2,26.1,4.6,30.6,30.1,8.8,69,62,66,57,28.795999999999996,115.18399999999998,8,7.5,9,6,0.35,21,14,51,1,0,0
Plot 4,3,44,0.04845592568393783,0.04117278541450777,0.059070798621761664,0.027374578046632122,0.02838970874093264,0.05329651431606217,0.781544190984456,0.7309897175647668,0.5846327274611399,0.5393159502072539,0.7395868888601036,0.476485247253886,2.33,1.53,1.01,0.46,0.69,1.47,0.45533878424870466,0.3657000952331606,0.13728613164248704,0.25180466383419686,0.4509926810880829,0.11056418916580311,0.8639930002590673,0.8192689113989637,0.42366870150259067,0.6031285258549223,0.8800402419689118,0.20144955787564767,13.881305813471501,10.127783933678757,2.4725340611398963,4.323920843523316,15.974121647668394,1.5063351668393783,41,34.2,17.7,33.1,40.6,7.2,70,60,69,64,93.3225,373.29,9,6.5,6,7,0.35,32,12,52,1,0,0
Plot 4,4,38,0.04712053101041667,0.042415861166666666,0.058502044223958334,0.027042042708333335,0.028783025192708336,0.056470281984375,0.7764111107291667,0.73607927203125,0.5982840724999999,0.4860211808854167,0.7161670264583333,0.49146717854166666,1.97,1.22,0.99,0.38,0.61,1.43,0.44910327791666665,0.377814729375,0.1520358409375,0.22015584557291668,0.4237989752083333,0.12140289864583333,0.8607567411979167,0.82121348890625,0.4609718778125,0.50934732265625,0.8532305385416666,0.21118486854166665,13.587223666666667,10.387903695833334,2.7142612468749996,3.3091475515625,13.034229596354166,1.5380928963541667,36.1,29,21,36.5,36.1,9,73,65,74,56,68.63199999999999,274.52799999999996,9,6.5,8,7,0.6,30,13,50,1,0,0
Plot 4,5,36,0.04712242573056995,0.04089300073056995,0.057253726626943,0.02920564321243523,0.02774070383419689,0.05200571575647668,0.7701578219170985,0.7103208601036269,0.573194839119171,0.5696816144041451,0.7045103519689119,0.47157352404145075,1.63,2.19,0.94,0.51,0.77,1.33,0.4396904329015544,0.34604912170984453,0.13380655900518135,0.27433093632124356,0.40974181082901556,0.11065031370984457,0.8514386919170984,0.7892493561139896,0.40789774569948184,0.6370513188601036,0.8422404154404145,0.20188631227979276,12.941332825388601,8.722645231088082,2.380210570984456,4.811882704663212,12.943002897409327,1.509759802072539,37.5,36.4,31.3,36.3,35.2,9.4,70,62,76,58,83.65100000000001,334.60400000000004,8,6.8,8.5,6.5,0.5,27,15,52,1,0,0
Plot 4,6,18,0.044038023300518134,0.03982544088082901,0.056506434072538865,0.02742921792746114,0.02875887293264249,0.05193929503108809,0.7744730416580311,0.7192064329015544,0.5751025367357513,0.5899185513471502,0.7259191563730569,0.47335525409326423,3.67,2.23,1.24,0.28,1.15,1.64,0.44826041176165804,0.35485706336787565,0.13180319348186528,0.2873292532642487,0.4297555636787565,0.11420126666321243,0.8672073142487048,0.8079414969948187,0.41849543772020725,0.6856794322797928,0.8631431761658032,0.2064307081865285,14.209367974093263,9.557550020207254,2.4433176243523316,5.94860641761658,14.341376937823835,1.5241259010362695,35.8,33.8,19.9,38.8,44.3,8.6,71,56,74,63,103.48849999999999,413.95399999999995,9,7.5,8.5,6.5,0.6,39,18,55,1,0,0
Plot 4,7,35,0.04164930757512954,0.04212123374093264,0.060693485575129526,0.027056852082901553,0.025624700269430048,0.0535567565388601,0.7790309065284975,0.7153704512953367,0.5911228392746114,0.49574027430051815,0.7314871483937824,0.4770998966321243,3.77,2.21,1.11,0.3,1.18,1.23,0.4423474631606218,0.3425473625906736,0.14793515430051812,0.22040967766839376,0.4290938643005181,0.11549970260103627,0.8788951513471502,0.791925268031088,0.42848050015544037,0.5270036156994818,0.8833121784455958,0.20020345136787565,15.780195256476684,8.713183095336788,2.5023924466321246,3.4929840875647664,16.53297233937824,1.5034807808290154,34.2,33.6,4.3,36.2,38.9,7.3,72,59,67,59,71.783,287.132,10,7,8,7,0.4,30,17,56,1,0,0
Plot 4,8,38,0.04645141172020725,0.04469054489637306,0.05993036090673575,0.027044122984455958,0.027924691098445593,0.052919237373056996,0.8089811934196891,0.7408710003108809,0.6000691103626943,0.5228458421761658,0.772727969896373,0.4729477053367876,3.23,1.93,1.02,0.42,1.2,1.33,0.49633727694300517,0.3810150889119171,0.15436520860103628,0.24263434373056997,0.49141962528497407,0.1099331181554404,0.9014522626424871,0.8196038716062176,0.456574061865285,0.5780392756476683,0.9120562447150259,0.19663433113989637,19.622922870466322,10.228962466321244,2.6832824715025905,4.056892116580311,22.206687476683936,1.4916299590673574,31.7,34.8,20.3,33.5,39,8,74,55,80,59,63.571999999999996,254.28799999999998,9,7.5,8,7,0.3,32,18,57,1,0,0
Plot 4,9,31,0.04500683945595854,0.044870016310880834,0.05681987867875647,0.02773116690673575,0.027214087393782383,0.0486221450103627,0.7157809460621761,0.6658517226943005,0.5592184841968911,0.5847791169430052,0.6694756779274611,0.44888428170984457,2.97,1.89,1.11,0.32,1.09,1.44,0.3663470970984456,0.29106408611398965,0.12993470983937824,0.2644554914507772,0.3623969307253886,0.09936062658549223,0.7801413264248704,0.6948028214507772,0.37642442606217613,0.6763809034715025,0.8069179764248705,0.18063796025388604,8.1694755253886,5.598133768393782,2.2098850383419686,5.644984086528497,9.547422991709844,1.444866932642487,34.4,30.3,15.5,37.8,40.1,7.4,74,59,74,57,48.610499999999995,194.44199999999998,8,7,8,7,0.4,38,15,59,1,0,0
Plot 4,10,38,0.042229262300518135,0.041072429067357516,0.05817694694818653,0.029496534269430056,0.02560690789119171,0.05403111756994819,0.7855816847668393,0.7308480226943005,0.5960513422279793,0.6189269095336788,0.7573238829015545,0.4769301893264249,3.11,2.21,1.05,0.33,1.11,1.45,0.4575759243005182,0.36402092834196886,0.15085590295854923,0.3097471853367875,0.46819813891191714,0.1071029239015544,0.8853085080829015,0.819206854611399,0.45787698191709847,0.7172180721761658,0.9069439649740932,0.19534677212435234,16.576296386010362,10.22096357150259,2.69174479015544,6.439136334196891,20.699647010362693,1.4881841735751293,38.4,33.6,14.9,36.8,41.4,6.5,79,49,66,58,42.216499999999996,168.86599999999999,9,7,7.5,7,0.6,25,14,58,1,0,0
Plot 5,1,43,0.03894262192227979,0.03864824409326425,0.060472981145077716,0.025686948481865285,0.024720943730569947,0.05378998537823834,0.6684508112953369,0.6294275807772021,0.5775638766839378,0.42911991647668396,0.6483633534715025,0.5013926022279792,2.03,1.19,0.97,0.18,0.89,1.17,0.31219008347150257,0.2497073276165803,0.14469735485492227,0.16619934868911915,0.3489906019170984,0.12983015749222798,0.7314399497927461,0.6677122273575129,0.39600995227979274,0.42029628626943005,0.7959981714507772,0.25837105264248705,6.734433103108809,5.075078839896373,2.314361687046632,2.57635028238342,9.239311109326426,1.7000993419689119,41.6,23.3,6.8,43.4,42.9,5.1,61,65,60,60,53.415,213.66,7.5,7.5,7,8.5,0.4,28,18,48,0,0,1
Plot 5,2,35,0.04037891384974093,0.03958915853886011,0.05918076150777202,0.024830651393782387,0.023704159953367877,0.052114380792746114,0.6694533496373056,0.6246314910880829,0.5604783843005181,0.4260239364248705,0.6356193194818652,0.496510370880829,2.04,1.07,0.83,0.12,0.81,1.22,0.309394594507772,0.2450140241450777,0.13572169475129534,0.1694364229481865,0.3340712630569948,0.1330472062746114,0.725087958134715,0.6516942881865285,0.3625137837823834,0.4266102801036269,0.7887471309326426,0.26256466823834196,6.482727515025906,4.803778863212435,2.1400541124352332,2.611398174611399,8.769528252331606,1.7179966834196891,38.5,38.1,10.5,37.8,43.2,5.6,60,66,59,56,86.25,345,8,8.5,7,7,0.25,27,16,47,0,0,1
Plot 5,3,41,0.040358051373056994,0.0408259982746114,0.06016802281347149,0.024421520725388602,0.023591120461139897,0.05251616856476684,0.6685950620725388,0.626127712642487,0.5598501113989638,0.42583638170984456,0.629613385388601,0.5009624929015544,2,0.83,0.96,0.21,0.73,1.23,0.30994328264248705,0.24810446668393785,0.13806312390673575,0.16960386355440413,0.3203077762176166,0.13548954711398964,0.724410089896373,0.6446355827979275,0.3536831905699482,0.4333836944559586,0.7826170632124352,0.26823485683937826,6.3916711435233164,4.715317090673575,2.096520793264249,2.65005435388601,8.374376026424871,1.7369407958549221,38,14.7,13.7,38.8,39.1,4.5,61,62,55,54,64.19999999999999,256.79999999999995,7.5,7.9,7,8,0.45,30,18,46,0,0,1
Plot 5,4,43,0.0411128061761658,0.039451954212435233,0.056167966751295345,0.02601996776165803,0.02546079887046632,0.05298111720725388,0.6692908713989637,0.6295674415025907,0.5452950182901555,0.4313443352849741,0.6110275237823835,0.4956578275129534,1.77,1.33,0.73,0.22,0.77,1.09,0.3120446365803109,0.2506714471502591,0.12668783305699483,0.17224156749222796,0.30545832062176165,0.13234402073056994,0.7214529375129534,0.6612670917098445,0.3481680169430052,0.41926123585492225,0.7403580427979274,0.25102472476683935,6.329172575129534,4.970185294818653,2.071975203626943,2.5755329,6.903308493264249,1.6769885,34.4,27.3,28.6,33.4,42.8,6.1,60,62,58,56,85.5,342,9.5,7.5,7.5,7.5,0.45,28,17,50,0,0,1
Plot 5,5,29,0.04336040886458333,0.042542965078124995,0.057570757578125,0.024091793484375002,0.025804117067708333,0.05446221775520833,0.6906325252083333,0.6536394129166666,0.5627174285937501,0.37820554776041665,0.6302942577604167,0.5050540135416667,1.83,1.23,1.08,0.19,0.75,1.08,0.3402780291145833,0.2869138296354167,0.14332352496875,0.13808373932812498,0.32077506338541667,0.13089131599479167,0.7455035798958334,0.6857041252083333,0.3811008679166667,0.3430323771354167,0.7639884576041666,0.2610090196354167,7.054356420833333,5.4362375671875,2.2360904046875,2.1081287390625,7.745187282291667,1.7118906692708336,38.7,24.5,8.5,41.3,43.9,3,63.5,68,58,63,57.915,231.66,9.5,7.5,7.5,7,0.4,36,19,51,0,0,1
Plot 5,6,39,0.04246401075647668,0.03963186596373057,0.05689658502072539,0.02517289841968912,0.026332995606217616,0.05582267678756478,0.6842367935233161,0.6411886074093265,0.5607156466839378,0.41350075704663214,0.6235670946632125,0.5103617446113989,2.07,1.93,0.94,0.53,0.74,1.03,0.3319238227979275,0.2725491458031088,0.13585156268393783,0.16107397275129534,0.3197723883419689,0.13834424516580313,0.7390448543005181,0.681201375388601,0.38046960958549225,0.3948742816062176,0.7502877984974093,0.2633564916062176,6.845222893782384,5.445349409326425,2.2310802497409328,2.3967530217616577,7.309100740414507,1.7200510932642485,45,37.7,26.7,34.8,40.9,4.3,61,65,60,62,58.83,235.32,9,8.5,7,7.5,0.55,35,20,56,0,0,1
Plot 5,7,37,0.04057746937305699,0.039756894145077715,0.05493001159585493,0.024770805373056995,0.0261043706373057,0.05533143406735751,0.6752236518134715,0.6339923358031088,0.545232327253886,0.39330519860103624,0.6261330238860103,0.5080022277720208,2.23,1.63,1.16,0.54,1.17,1.17,0.3238300135233161,0.2663045593264249,0.12963956412435235,0.15289518192746115,0.3251804440414508,0.13871387050777204,0.7343717341450777,0.6667541319170984,0.3567903974611399,0.36150675725388604,0.7557519745595855,0.26180551518134715,6.692195242487046,5.106678364248705,2.1123925606217617,2.1996235518134717,7.514130946632124,1.7179660564766839,34.1,36.5,28.3,33.3,43.6,5.1,65,60,57,60,86.535,346.14,9,7.5,8,7,0.5,28,17,57,0,0,1
Plot 5,8,34,0.035132736419689115,0.03722061604663213,0.04814118555958549,0.022890595538860102,0.024664764834196894,0.044302528984455955,0.5234443762694301,0.5491944020725389,0.5043761173056995,0.3227972024352332,0.4971308361139896,0.4926215864248704,2.11,1.47,1.34,0.47,0.93,1.16,0.19209999647668394,0.19232697989637307,0.11170160290673574,0.10571955583937824,0.2164066243523316,0.13946324542487046,0.488466311761658,0.5195902770466322,0.3169440234196891,0.2524380040932643,0.5627311452849741,0.3253644240932642,3.017447044559585,3.250392518134715,1.9341757025906736,1.7070150984455958,3.745648294300518,1.975596309326425,38,23.5,12.7,41.3,41.4,4.3,67,56,57,62,25.02,100.08,8,7.5,8.5,8,0.5,27,15,50,0,0,1
Plot 5,9,31,0.03855583865803109,0.03747408543005181,0.05483816402072539,0.02352043168911917,0.025275148844559586,0.05149407560621762,0.6024006817616581,0.5851237419170984,0.5464168455440415,0.34645645316062174,0.5622288953367875,0.5108087797927461,1.97,1.33,1.35,0.38,0.84,1.24,0.24963401393782383,0.21873559829015546,0.1341940634611399,0.11545737936787565,0.2686241339896373,0.14812454931088082,0.6163617372020725,0.5917522576165803,0.36066770652849744,0.2891969131088083,0.6678255026424871,0.3009098636787565,4.306384992227979,3.9459588492227984,2.1316746932642485,1.847610094300518,5.183584479274612,1.8710077424870466,48.2,22.2,10.2,39.7,39.7,3.8,66,55,56,58,47.775000000000006,191.10000000000002,9,8,7,8,0.5,25,17,52,0,0,1
Plot 5,10,33,0.03802367335751295,0.03956672651813471,0.05959578748704664,0.02516232587564767,0.025492722238341967,0.051545832124352334,0.6391995035751296,0.6106224304663213,0.5590113218134715,0.3919500915544042,0.618383022746114,0.4955354677202073,1.73,1.83,1.18,0.61,0.67,1.23,0.2793150033678756,0.2346238710880829,0.14044179015544042,0.1408015931658031,0.3167622317098446,0.1346374762176166,0.6872672369430052,0.6249248835233161,0.355438077253886,0.35282882502590673,0.749612560103627,0.2627694358031088,5.625331082383419,4.376892111398964,2.1050780393782382,2.163200821243523,7.3584582129533675,1.717478989119171,39.6,31.4,7.7,40.2,41,3.9,67,68,52,58,58.71,234.84,9,8,8,7.5,0.4,37,19,50,0,0,1
Plot 6,1,42,0.050905374326424876,0.04933216069948187,0.053188593455958555,0.025354672896373057,0.030146971533678756,0.05752456850259067,0.720772136373057,0.7267055469948187,0.6169415206735751,0.3864570731088083,0.649602974404145,0.5327239961139897,2.23,1.47,0.99,0.19,1.23,1.16,0.40154553150259065,0.3831425945595855,0.19643332316062176,0.13894783576165803,0.36143417839378233,0.14348413222797926,0.7630008375129533,0.7795213065803108,0.5411231612435233,0.3390557625388601,0.7575591846632124,0.30593989046632125,7.753088470466321,8.264161308290156,3.3773223388601035,2.146740648704663,7.7097431476683935,1.9117457466321244,48.3,50.1,15.1,36.9,45,5.6,69,72,70,62,78.99,315.96,9,8,9,8,0.7,34,23,53,0,1,1
Plot 6,2,30,0.05799123832812501,0.05631090898958334,0.05628577013020833,0.026619032640625,0.03540649824479167,0.058776975848958336,0.7598176567708333,0.7416320266145834,0.6140004183854166,0.43593836354166665,0.6864973288020834,0.5081681411979166,1.77,1.62,1.03,0.19,1.27,1.06,0.4528231922916666,0.4054223734895834,0.18960334187500003,0.173657458984375,0.4097254925520833,0.13105932166145834,0.8048522284895833,0.77979007828125,0.5143252381770833,0.4178352828645833,0.7790868518749999,0.23569950942708331,9.528949491145832,8.158492707812501,3.1253352447916662,2.571373225520833,8.601490685416666,1.6207276046874999,40.8,40,34.1,35.6,44.3,3.1,72,78,65,64,72.48,289.92,8,9,9.5,8.5,0.35,38,24,56,0,1,1
