지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일사량(MJ/m2)
140,군산,11/17/2022,10.2,4.1,16.9,,1,65.1,
140,군산,11/18/2022,12.2,6.6,19.3,,1.6,48.4,
140,군산,11/19/2022,13.4,9,19.9,,1.6,47.9,
140,군산,11/20/2022,13.4,8.7,19.2,,1.1,68.3,
140,군산,11/21/2022,11,6.5,18.2,,1.1,81.4,
140,군산,11/22/2022,11.6,9.4,13.9,0.5,1.3,78.5,
140,군산,11/23/2022,10.4,5.9,15.2,0,2.1,73,
140,군산,11/24/2022,8.7,4.8,15.8,,1.1,75.5,
140,군산,11/25/2022,10.3,3.2,18.3,,1.2,73.4,
140,군산,11/26/2022,9.2,1.7,14.9,0,2.8,59,
140,군산,11/27/2022,6.6,-0.3,14.8,,0.9,54.3,
140,군산,11/28/2022,12.9,5.4,17.3,51.5,1.3,77.1,
140,군산,11/29/2022,9.4,2.7,14.9,4.1,4.6,65,
140,군산,11/30/2022,-1.4,-3.9,2.7,,4.7,55.6,
140,군산,12/01/2022,-2.1,-5.7,2.3,,1.7,47,
140,군산,12/02/2022,0.2,-3.9,5.3,,1.6,54.5,
140,군산,12/03/2022,4.7,-0.2,8.7,0.4,1.8,70.1,
140,군산,12/04/2022,-0.2,-1.9,5.2,,3.1,41.9,
140,군산,12/05/2022,-1,-3.2,4.2,,1.7,40.5,
140,군산,12/06/2022,2.4,-4.2,7.7,0.3,3.1,60.9,
140,군산,12/07/2022,6.7,4.1,9.3,,3.8,57.8,
140,군산,12/08/2022,4,-0.7,10.5,,1,73.8,
140,군산,12/09/2022,5.3,0.6,11.9,,1,74.4,
140,군산,12/10/2022,3,-1.4,6.1,,0.7,66.9,
140,군산,12/11/2022,2.4,-1.4,8.6,,1.5,58.3,
140,군산,12/12/2022,2.4,-3.3,6.7,1.8,1.7,72.8,
140,군산,12/13/2022,4.7,-1.2,7.1,1.6,7.3,56,
140,군산,12/14/2022,-5.1,-7.9,-1.1,0.3,2.3,71.9,
140,군산,12/15/2022,-0.1,-7.9,6.3,1.6,2.7,75.6,
140,군산,12/16/2022,-2.5,-4.7,0.3,,1.4,51.6,
140,군산,12/17/2022,-4.7,-7.2,1.1,5.8,1.7,74.6,
140,군산,12/18/2022,-6.9,-9.5,-2.5,0.8,1.1,61,
140,군산,12/19/2022,-4.1,-10.5,1.4,,1.5,62.6,
140,군산,12/20/2022,-0.5,-5.3,5.2,,1.5,61,
140,군산,12/21/2022,1.7,-0.2,4.4,7.3,1.7,90.5,
140,군산,12/22/2022,-4.1,-7.4,1.4,12.4,4.4,90.1,
140,군산,12/23/2022,-6.6,-8.2,-5,15,3.1,90.6,
140,군산,12/24/2022,-8.3,-10.6,-3.8,0,1.1,78,
140,군산,12/25/2022,-4.5,-11.5,2.2,,1.2,80.9,
140,군산,12/26/2022,-4.2,-9.2,2.6,,0.7,85,
140,군산,12/27/2022,-2.5,-7.5,4.8,,0.7,81.5,
140,군산,12/28/2022,-1.5,-5.1,3.4,0,1.7,75.4,
140,군산,12/29/2022,-2.4,-7,4,,0.9,73.1,
140,군산,12/30/2022,-0.6,-4.8,4.2,0.1,1,77.4,
140,군산,12/31/2022,0.5,-3.3,5.7,,1.8,65.4,
140,군산,01/01/2023,-0.2,-4.5,6,,1.6,66.3,
140,군산,01/02/2023,-2.4,-5.8,2.4,,1.9,57.1,
140,군산,01/03/2023,-3.3,-8.4,3.4,,1.4,67.8,
140,군산,01/04/2023,-0.7,-5.9,5.7,,1.3,70.1,
140,군산,01/05/2023,1,-4.2,6.7,,0.8,75.4,
140,군산,01/06/2023,2.4,-2.5,6.9,2.3,1.9,75,
140,군산,01/07/2023,3.4,-1.8,6,,4.9,63.1,
140,군산,01/08/2023,1.2,-3.8,7.6,,0.9,74.6,
140,군산,01/09/2023,3,-1.6,9.2,,1.7,71.5,
140,군산,01/10/2023,0.7,-4.3,7.6,,0.9,65.9,
140,군산,01/11/2023,1.4,-4.2,10,,0.7,71.8,
140,군산,01/12/2023,7.2,-1.9,16.4,0.7,1,56.8,
140,군산,01/13/2023,10.2,7.2,14.8,22.2,2.3,96.5,
140,군산,01/14/2023,5.8,4.1,8.5,0,1.9,96,
140,군산,01/15/2023,0.3,-1.9,4.2,,5.5,75.5,
140,군산,01/16/2023,-2.8,-5.1,0.5,,3.3,57.3,
140,군산,01/17/2023,-1.8,-5.8,3.4,,1.5,62.9,
140,군산,01/18/2023,-0.3,-3.1,4.4,0,1.5,70.6,
140,군산,01/19/2023,1.4,-4.1,6.8,,2,61.5,
140,군산,01/20/2023,0,-5,5.7,0,5.6,52.3,
140,군산,01/21/2023,-2.3,-7.2,3,,1.3,59.3,
140,군산,01/22/2023,0.9,-2.2,3.8,,1.6,58.3,
140,군산,01/23/2023,1,-2.4,7.3,,3.6,66.4,
140,군산,01/24/2023,-9.3,-11.9,-2.2,0,7.8,58,
140,군산,01/25/2023,-10,-15.4,-4.2,,1.7,53,
140,군산,01/26/2023,-3.1,-10.6,0.2,1.2,1.4,75.5,
140,군산,01/27/2023,-4.5,-7.2,-1.7,,4.3,60.4,
140,군산,01/28/2023,-5.4,-10.1,-1.4,0.6,1.6,72.5,
140,군산,01/29/2023,-0.8,-8.9,5.7,0,2.8,70.9,
140,군산,01/30/2023,-0.2,-4.6,5.1,,2,56.6,
140,군산,01/31/2023,2.8,-5.8,10.9,,2.5,63.6,
140,군산,02/01/2023,2.7,-2.6,6.9,,3.3,67,
140,군산,02/02/2023,-1.6,-4.7,2.9,,1.4,58,
140,군산,02/03/2023,-1.4,-4.1,2.5,,2.2,53.1,
140,군산,02/04/2023,-0.6,-6.2,5.6,,1.5,70.3,
140,군산,02/05/2023,0.2,-5.6,7.5,,1.1,74.1,
140,군산,02/06/2023,2.5,-4.2,11,,1.2,64.4,
140,군산,02/07/2023,3.3,-0.4,9.1,,1.2,69.8,
140,군산,02/08/2023,0.6,-4.2,6.8,,1.6,73.1,
140,군산,02/09/2023,4.7,-2.9,10.5,0.3,1.4,47.8,
140,군산,02/10/2023,3.6,0,8,2.2,1.7,86.5,
140,군산,02/11/2023,1.7,-3.4,8,,1.1,84,
140,군산,02/12/2023,3.6,-1.6,7.6,,1.4,68.8,
140,군산,02/13/2023,6,1.1,11.1,,1.9,68.1,
140,군산,02/14/2023,0.4,-2.4,4.7,,1.8,68.8,
140,군산,02/15/2023,1.8,-3.6,7.3,,1.6,69.4,
140,군산,02/16/2023,2.3,-1.9,6,0,2,71.5,
140,군산,02/17/2023,3,-2.1,9,,1.1,61.5,
140,군산,02/18/2023,6,3.1,8.7,1.8,0.8,62.4,
140,군산,02/19/2023,2.6,-1.9,5.3,0.6,4.5,71.1,
140,군산,02/20/2023,-0.2,-3.4,4.6,,4.3,57.3,
140,군산,02/21/2023,-1.9,-6.9,3.4,,1.5,54.3,
140,군산,02/22/2023,0.8,-5.5,7,,1.9,59.8,
140,군산,02/23/2023,2.2,-3.1,7.2,,1.7,70.8,
140,군산,02/24/2023,2.7,-1.5,10.3,,2.8,67.1,
140,군산,02/25/2023,0,-3.2,4.3,,3.2,51.4,
140,군산,02/26/2023,0.6,-5.8,6.1,,1.8,55.3,
140,군산,02/27/2023,2,-4.5,9.7,,1.6,67,
140,군산,02/28/2023,4.7,-4.8,12.8,,1.8,77,
140,군산,03/01/2023,6.1,1.6,9.4,,3.4,68.5,
140,군산,03/02/2023,2,-1.6,5.6,,4.6,39.8,
140,군산,03/03/2023,2.7,-4.9,9.2,,1.8,62.6,
140,군산,03/04/2023,4.7,-0.8,12.7,,1.4,74.9,
140,군산,03/05/2023,5.5,-0.7,14.5,,1.5,69,
140,군산,03/06/2023,7.2,-1.1,14.9,,1.6,59,
140,군산,03/07/2023,12.2,4.6,19.4,,2.7,49.6,
140,군산,03/08/2023,14.5,8.4,20.5,,3.2,49.3,
140,군산,03/09/2023,9.5,4.8,14.2,,2.5,84.8,
140,군산,03/10/2023,12.1,3.2,21.9,,1.4,61.4,
140,군산,03/11/2023,13.7,6.5,24.5,,1.8,52.4,
140,군산,03/12/2023,6,2,10.3,12.3,5.4,71.8,
140,군산,03/13/2023,3.3,-1.1,7.1,,2.8,42.3,
140,군산,03/14/2023,8.8,0.9,16.6,,3,47.6,
140,군산,03/15/2023,10.8,5.7,19.2,,4.1,64.3,
140,군산,03/16/2023,6.1,1.2,11.8,,2.9,30.9,
140,군산,03/17/2023,6.6,2.7,11.1,,1.3,51.8,
140,군산,03/18/2023,6.8,2.8,13.1,,2.7,61.1,
140,군산,03/19/2023,6.2,0,12.2,,1.9,75.1,
140,군산,03/20/2023,6.3,0.1,14.9,,1.3,75.1,
140,군산,03/21/2023,11.2,3.7,20,,1.8,48.5,
140,군산,03/22/2023,13.2,6.4,23.4,0,1.3,54.5,
140,군산,03/23/2023,11.4,7.4,16.8,7.3,1.5,82.8,
140,군산,03/24/2023,8.6,5.2,13.3,,2.2,68.8,
140,군산,03/25/2023,8.7,3.9,15.2,,2.1,71.5,
140,군산,03/26/2023,8.1,3.6,14.6,,3.9,57.1,
140,군산,03/27/2023,5.4,-1,11.3,,2.2,59.4,
140,군산,03/28/2023,7.1,0.5,14.1,,1.5,67.6,
140,군산,03/29/2023,9.4,1.7,18,,1.5,68.9,
140,군산,03/30/2023,11.2,3.8,20.1,,1.4,61.9,
140,군산,03/31/2023,11.1,4.1,19,,1.9,55,
140,군산,04/01/2023,12.6,4.9,22.6,,1.6,58.3,
140,군산,04/02/2023,17.2,7.4,24.3,,2.2,33.6,
140,군산,04/03/2023,16.8,11.9,25.7,,2.2,34,
140,군산,04/04/2023,15.1,10.3,21.9,12.1,2.9,63.3,
140,군산,04/05/2023,12.6,8.6,16.3,38.7,4,91,
140,군산,04/06/2023,8.8,7.1,9.9,7.8,3.1,91.1,
140,군산,04/07/2023,7.4,4,11.3,0,3.7,76.8,
140,군산,04/08/2023,7.6,1.4,12.9,,3,70.4,
140,군산,04/09/2023,9.2,2.3,15.6,,2.4,59.9,
140,군산,04/10/2023,12.7,2.9,19.7,,2.8,48.8,
140,군산,04/11/2023,14,9.4,20.4,0.1,4.7,75.9,
140,군산,04/12/2023,9.5,4,14.6,,2.2,50.3,
140,군산,04/13/2023,11.4,3.1,19.3,,1.7,44.6,
140,군산,04/14/2023,13.7,6.1,21.1,0.3,1.2,61.4,
140,군산,04/15/2023,11.4,7.3,17.2,1.9,2.1,89.4,
140,군산,04/16/2023,11.2,7.3,15.6,,2.6,73.9,
140,군산,04/17/2023,13.7,5.7,20.5,,2.1,59.3,
140,군산,04/18/2023,15.8,14.2,18.2,1.6,2.8,81.9,
140,군산,04/19/2023,17.7,13.5,26.7,,2.1,80.8,
140,군산,04/20/2023,15.8,12.8,21.5,,1.8,88.5,
140,군산,04/21/2023,16.8,12.3,21,,2.2,61.1,
140,군산,04/22/2023,16.8,12.9,22.9,,2.6,33.8,
140,군산,04/23/2023,15.4,12.9,20.8,,1.8,47.4,
140,군산,04/24/2023,14.1,11,17.7,,2.2,54.8,
140,군산,04/25/2023,9.8,7.2,11.5,1.1,1,76,
140,군산,04/26/2023,7.9,4.6,11.1,,3.9,77.6,
140,군산,04/27/2023,10.2,2.4,17.3,,1.7,66.4,
140,군산,04/28/2023,15.6,5.6,21.6,0.1,2,63.4,
140,군산,04/29/2023,13.4,9.7,17.6,2.4,4,85.6,
140,군산,04/30/2023,13.1,6.5,18.2,,3.4,67,
140,군산,05/01/2023,13.7,8.5,19.6,,2.1,70,
140,군산,05/02/2023,16.3,8.1,24.5,,1.5,54.1,
140,군산,05/03/2023,18.6,11.1,25.8,,2.6,57.5,
140,군산,05/04/2023,19.8,17.3,25.2,0.3,4.6,66.9,
140,군산,05/05/2023,19.8,18.1,21,107.6,3.2,94.6,
140,군산,05/06/2023,15.4,12.6,20.5,19.4,2.6,93.8,
140,군산,05/07/2023,12.8,9.3,16.5,2.9,2,69.3,
140,군산,05/08/2023,13.2,6.6,19.3,,2.2,63.6,
140,군산,05/09/2023,13.6,7.3,19.6,,1.9,74.3,
140,군산,05/10/2023,15.5,10.1,22.8,,1.9,71.6,
140,군산,05/11/2023,16.7,10,24.1,,1.7,64.8,
140,군산,05/12/2023,16.7,10.8,23.9,0,1.9,68.8,
140,군산,05/13/2023,16.5,13,20.2,,2.3,74.5,
140,군산,05/14/2023,16.6,9.9,23.4,,1.9,69.5,
140,군산,05/15/2023,19.1,10.9,28.4,,1.7,65.4,
140,군산,05/16/2023,22.4,15,29.7,,2.1,57.4,
140,군산,05/17/2023,22.5,16.2,29.2,,2.9,62.3,
140,군산,05/18/2023,19.1,17.5,21.4,0.7,2,77,
140,군산,05/19/2023,21.3,16.3,26.6,,1.9,62.1,
140,군산,05/20/2023,18.6,15.6,25.1,0,2.9,79.6,
140,군산,05/21/2023,16.6,14.3,19.7,0,2.9,81.4,
140,군산,05/22/2023,16.5,13.9,21.7,0.2,2.3,76.8,
140,군산,05/23/2023,17.3,12,22.7,,2.4,72.6,
140,군산,05/24/2023,18.3,12.4,24.9,,1.9,70.5,
140,군산,05/25/2023,19.4,14.3,26,,2.4,59.4,
140,군산,05/26/2023,20.8,15.8,25.7,0,1.7,63.5,
140,군산,05/27/2023,22,19.6,26,0.3,2,74.5,
140,군산,05/28/2023,20.9,19,22.3,60.9,2,93.8,
140,군산,05/29/2023,19.8,18.4,21.7,143.7,1.4,94,
140,군산,05/30/2023,22.3,19.2,28,,1.7,83.1,
140,군산,05/31/2023,22.1,18.9,28,0,1.8,73.6,
140,군산,06/01/2023,20.7,17.8,26.4,0,2,82.1,
140,군산,06/02/2023,19.6,16.4,23.3,0,2.9,82,
140,군산,06/03/2023,20.5,14.6,26.8,,2.6,70.8,
140,군산,06/04/2023,20.6,15.7,24.9,,2.4,71.8,
140,군산,06/05/2023,20.2,17.4,23.6,,2.4,73.6,
140,군산,06/06/2023,19.5,16.1,24.5,,2.6,76.4,
140,군산,06/07/2023,20.5,16.9,25,,2.5,79.1,
140,군산,06/08/2023,20.9,18.2,27.2,0,2.3,78.9,
140,군산,06/09/2023,23,19.3,28.7,0.1,2.2,70.1,
140,군산,06/10/2023,23.1,19.1,30.3,0,2.9,67.8,
140,군산,06/11/2023,22.2,18.3,25.9,,2.4,75.9,
140,군산,06/12/2023,21.4,17.2,25.5,,2.3,76.3,
140,군산,06/13/2023,20.8,16.8,24.7,0,2.7,76.3,
140,군산,06/14/2023,20.4,17,24.9,,2.2,77.8,
140,군산,06/15/2023,20.8,16.3,24.6,,2.6,75.6,
